Name,Day,Time,Message,Response,Wrote something,
Goomba Stomp,Tuesday,14-15,1.00,,,
The Indie Game Website,Tuesday,14-15,1.00,,,
Indiegamereviewer !Wants two keys!,Tuesday,14-15,1.00,,,
Indie Game Magazine,Tuesday,14-15,1.00,dalig address,,
MGL,Tuesday,14-15,1.00,,,
Retro Nuke,Tuesday,14-15,1.00,,,
Kotaku,Tuesday,14-15,2.00,,,
Indie Haven,Tuesday,14-15,2.00,error,,
Indie Games Plus,Tuesday,14-15,2.00,,,
PC Gamer,Tuesday,14-15,2.00,,,
Sip Read Repeat,Tuesday,14-15,2.00,,,
WIRED,Tuesday,14-15,2.00,,,
Digital Trends,Wednesday,13:50-14,1,,,
Indie-Credible,Wednesday,14:20-15,"1, through portal",,,
Grabit Magazine,Wednesday,13:50-14,1,,,
Bago Games,Wednesday,13:50-14,1,,,
Rock Paper Shotgun,Wednesday,13:50-14,1,,,
Independet.ie,Wednesday,13:50-14,2,,,
GamesRadar+,Wednesday,13:50-14,2,"does not cover, nice guy tho",,
This Gen Gaming,Wednesday,14:20-15,2,,,
Indie Game Buzz,Wednesday,14:20-15,2,,,
The Guardian,Wednesday,14:20-15,2,,,
,,,,,,
PixelProspector,Tuesday,14-15,1.00,,,
Get Indie Gaming,Tuesday,14-15,1.00,,,
Pepp's indie reviews,Tuesday,14-15,1.00,,,
Indie-Credible,Tuesday,14-15,2.00,,,
Indie Game Fiend,Tuesday,14-15,2.00,,,
Best Indie Games,Tuesday,14-15,2.00,,,
Indie-Credible,Wednesday,14:20-15,1,,,
Defunct Games,Wednesday,14:20-15,1,,,
Indie Games Searchlight,Wednesday,14:20-15,1,,,
IndieVoice,Wednesday,14:20-15,2,,,
Them Peeps - Short & Sweet Game Reviews,Wednesday,14:20-15,2,,,
TheBeardedTom,Wednesday,14:20-15,2,,,
